source_file,direction,source_term,context,proposed_translation,term_type,status,notes
katturaigal/vetrikalippu.md,tamil_to_english,ஐந்து ஏக்கர்,"Contrast between material patronage and sacrifice for language rights",five acres,political_contrast,approved,"Land figure retained literally as the speech's denial of personal material motive."
katturaigal/koattaikullae.md,tamil_to_english,கருங்காலி,"Communist resolution's accusation against strike breakers and internal opponents",blackleg,labour_term,approved,"Uses the established British labour term for a strike breaker and preserves its abusive force."
katturaigal/koattaikullae.md,tamil_to_english,கோட்டைக்குள்ளே குத்து வெட்டு,"Violent metaphor for factional conflict within the Communist Party",stabbing and slashing inside the fortress,political_metaphor,approved,"Literal metaphor retained because the fortress represents the party's own organization."
katturaigal/koattaikullae.md,tamil_to_english,கல்தா கொடுக்க,"Resolution seeks removal of the Jeeva group from the party",expel / dismiss,colloquial_term,approved,"Rendered by institutional context rather than transliterating the colloquial borrowing."
katturaigal/meendum_kama.md,tamil_to_english,பிகுவு பண்ணாதே,"Velappan dismisses the woman's resistance while boasting of other options",do not sulk / do not act coy,colloquial_term,provisional,"Rendered by scene context; exact register of the borrowing may vary."
katturaigal/meendum_kama.md,tamil_to_english,ருசிகண்ட பூனை உரியைச் சுற்றிவராமல் போகுமா,"Office seekers return after receiving small favours",once a cat gets the taste it circles the hanging food pot,proverb,approved,"Preserves the domestic food-storage image and repeated appetite metaphor."
katturaigal/meendum_kama.md,tamil_to_english,துஷ்ட நிக்ரஹ சிஷ்ட பரிபாலனம்,"Ironic claim that return to leadership serves moral governance",punish the wicked and protect the virtuous,Sanskrit_maxim,approved,"Conventional meaning restored from OCR-damaged form and placed in quotation marks to preserve irony."
katturaigal/puthuppothanai.md,tamil_to_english,இந்திவாலாக்கள்,"Supporters who promote and justify compulsory Hindi",Hindi advocates,colloquial_political_term,approved,"Functional rendering preserves the dismissive political register without awkward code-switching."
katturaigal/puthuppothanai.md,tamil_to_english,தேசியம் என்ற போர்வை,"Nationalism used to conceal coercive language policy",cloak of nationalism,political_metaphor,approved,"Retains the source's covering or disguise metaphor."
katturaigal/puthuppothanai.md,tamil_to_english,இஷ்டபூர்வமாக,"Governor's distinction between voluntary learning and compulsion",voluntarily / by choice,policy_term,approved,"Rendered consistently because this distinction drives the article's argument."
katturaigal/arisiyiyal.md,tamil_to_english,அரிசியியல்,"Coinage connecting rice supply with politics and multiple academic fields",rice-ology,political_wordplay,approved,"Coined English form supports repeated extensions to stomach-ology and the mathematics of rice policy."
katturaigal/arisiyiyal.md,tamil_to_english,வயிற்றியல்,"Material hunger presented as prerequisite to politics economics and sociology",stomach-ology,social_wordplay,approved,"Parallel coined form preserves the source's hierarchy of bodily need over abstract fields."
katturaigal/arisiyiyal.md,tamil_to_english,"மோகனம் / முகாரி","Contrasting musical modes for Delhi optimism and provincial lament",Mohanam / Mukhari,musical_metaphor,approved,"Raga names retained because the whole article develops a political concert metaphor."
katturaigal/arisiyiyal.md,tamil_to_english,கோதுமை ஏகாதிபத்தியம்,"Wheat offered to rice-eating population because Delhi will not supply rice",empire of wheat,food_policy_metaphor,approved,"Literal imperial metaphor retained as part of the satire."
katturaigal/londanile.md,tamil_to_english,வெண்சாமரம் வீசுகிறேன்,"Former anti-imperial leaders imagined pleading submissively for relief",I will even wave the white fly-whisk,royal_service_metaphor,approved,"Literal court-service image preserves the reversal from defiance to supplication."
katturaigal/londanile.md,tamil_to_english,வான்கோழியைக் கான மயிலென்றா,"False prestige cannot turn evident deprivation into prosperity",can one call a turkey a peacock of the forest,proverbial_comparison,approved,"Retains the contrasting birds because the next dried-pond image reinforces obvious falsity."
katturaigal/londanile.md,tamil_to_english,ஊமைக் காயம்,"Concealed national suffering compared with an unseen internal wound",unseen internal wound,medical_metaphor,approved,"Context defines it through internal swelling and danger rather than literal muteness."
katturaigal/delhi_kuttu.md,tamil_to_english,குட்டுகிறது / குனிகிறது,"Delhi's authoritative rap produces Madras's submissive bow",strikes / bows,paired_political_metaphor,approved,"Paired verbs retained in the title and developed through Delhi's refusal."
katturaigal/delhi_kuttu.md,tamil_to_english,நொய்யரிசி,"Lower-grade rice available from Burma but denied import permission",broken rice,food_term,approved,"Consistent rendering is crucial because the argument stresses that even inferior fractured grains were refused."
katturaigal/delhi_kuttu.md,tamil_to_english,பேசாமடந்தையர்,"Normally silent legislators forced to speak by public hunger",speechless maidens,ironic_literary_term,provisional,"Literal gendered literary image preserves the ridicule directed at habitually silent MLAs."
katturaigal/delhi_kuttu.md,tamil_to_english,கைதூக்கவே கற்ற சட்டசபை உறுப்பினர்கள்,"Legislators accustomed only to voting obediently",Assembly members trained only to raise their hands,political_satire,approved,"Preserves the physical gesture and accusation of automatic assent."
katturaigal/we_welcome.md,english_to_tamil,communalism,savage exhibition of Communalism in that camp at Gurukulam,வகுப்புவாதம்,historical_term,approved,"In the Gurukulam dispute this denotes caste discrimination, not religious conflict."
katturaigal/we_welcome.md,english_to_tamil,pound of flesh,instead of demanding the pound of flesh,ஒரு பவுண்டு சதை,literary_allusion,approved,Retain as a marked Shakespearean allusion.
katturaigal/we_welcome.md,english_to_tamil,silver lining,there are to be discerned one or two silver linings,வெள்ளிக் கீற்று,idiom,approved,Natural Tamil image that preserves the cloud metaphor.
kavithaigal/pongal_valthu1961.md,tamil_to_english,அண்ணன்,"அண்ணன், அண்ணாதுரை",your elder brother,cultural_address,approved,Pairs deliberately with தம்பி.
kavithaigal/unarveer.md,tamil_to_english,உதயசூரியன்,உதயசூரியன் ஒளி தருமே,the Rising Sun,political_symbol,approved,Both political emblem and image of a new dawn.
kavithaigal/kaathirunthaen.md,tamil_to_english,ஓட்டாண்டி,ஓட்டு கேட்கிறார்கள் என்னை ஓட்டாண்டி ஆக்கிவிட்டு,pauper; destitute wanderer,wordplay,approved,"Pun beside ஓட்டு, vote."
kavithaigal/seeridum_seettu.md,tamil_to_english,சிட்டு வல்லூறு,சிட்டு வல்லூறை எதிர்த்திடும் வகை செய்,the little bird confronting the vulture,political_image,approved,Image of the weak resisting a predator.
kavithaigal/puthupoar.md,tamil_to_english,சுயராஜ்யம்,பின்னர் நின்று நிலைத்திடும் நற்சுயராஜ்யம்,self-rule,historical_term,approved,Preserves period political vocabulary.
kavithaigal/pongal_valthu1961.md,tamil_to_english,தம்பி,என்னரும் தம்பி!,younger brother,cultural_address,approved,Retain the familial-political relationship; do not reduce to friend or comrade.
kavithaigal/ethirkaala_nilamai.md,tamil_to_english,தலையாட்டி,மாநில அரசு தலையாட்டியாகவும்,nodding puppet,political_image,approved,A nodding doll used as an image of subservience.
kavithaigal/thiruvidathai.md,tamil_to_english,திருவிடத்தை,அருமைமிகு திருவிடத்தை அமைப்போம்,sacred homeland,source_verified_term,approved,Retained exactly from the Poompuhar edition supplied by the user; do not normalize to திராவிடத்தை.
kavithaigal/vazhibadu.md,tamil_to_english,பதினாறில் ஒரு பாகம்,பதினாறில் ஒரு பாகம் பகிர்ந்தளிப்பேன்,one part in sixteen,satirical_phrase,approved,A calculated religious cut in a transactional prayer.
kavithaigal/malar_manam.md,tamil_to_english,அறிவு,அறிவுக்கு ஆயிரம் கண்கள்,reason,context_dependent,context_dependent,May also mean knowledge or intellect.
kavithaigal/vandikaran_magan.md,tamil_to_english,ஆளாக்க,உன் மகனை ஆளாக்க,make a man of; raise into a capable adult,cultural_term,context_dependent,Translation depends on gender and social context.
kavithaigal/enathu_karuthoattam.md,tamil_to_english,கருத்தோட்டம்,எனது கருத்தோட்டம்,the course of my thought,literary_term,context_dependent,Combines flow of thought and outlook.
kavithaigal/kolaikaaran_kotsae.md,tamil_to_english,குலமும் ஒண்ணு,குலமும் ஒண்ணு கடவுளும் ஒண்ணு,humanity is one,context_term,context_dependent,Broad unifying sense rather than literal clan.
kavithaigal/inbam_kaana.md,tamil_to_english,சமதர்மம்,சமதர்மத்தின் ஆட்சியை இந்நாட்டினிலே தோற்றுவீரே,social equality,historical_term,context_dependent,Can also denote socialism or egalitarianism depending on context.
kavithaigal/kadaisi_sinnam.md,tamil_to_english,சின்னம்,கடைசிச் சின்னம்,monument,context_term,context_dependent,"Can also mean sign, symbol, or memorial."
kavithaigal/sinnaan_sindhu.md,tamil_to_english,பள்ளு பறை,பள்ளு பறை என்ற பேச்சைப் பழசாக்கிப் போடணும்,Pallar and Paraiyar caste labels,historical_term,context_dependent,Refers to labels imposed on oppressed communities.
kavithaigal/vizhiputra_paattali.md,tamil_to_english,பாட்டாளி,விழிப்புற்ற பாட்டாளி,worker; proletarian,political_term,context_dependent,Use proletarian where class-political emphasis is explicit.
kavithaigal/thiruvidathai.md,tamil_to_english,பான்மை,உலகிலே பான்மைகெட்டு உழலுவது அழகல்லவே,nature; character; quality; distinctive disposition,source_verified_term,context_dependent,Source-verified word; must not be normalized to மான்மை.
kavithaigal/ethirkaala_nilamai.md,tamil_to_english,பேரரசு,பேரரசு ஆட்டிப் படைக்கவும்,central power,political_term,context_dependent,Literally empire or great state; here the Indian central authority.
kavithaigal/manithan.md,tamil_to_english,மதி,உழைப்பே மதி,creed,context_term,context_dependent,"May mean intellect, conviction, or creed."
kavithaigal/vandu_kandaen.md,tamil_to_english,மது,மதுவினை ருசித்துமே,nectar,wordplay,context_dependent,Means floral nectar and can also suggest intoxicating drink.
kavithaigal/viduthalai.md,tamil_to_english,விடுதலை,விடுதலையே,freedom; liberation,political_term,context_dependent,Choose by political and grammatical context.
katturaigal/we_welcome.md,english_to_tamil,sweet reasonableness,Sweet reasonableness is the best of all prescriptions.,இனிய நியாய உணர்வு,rhetorical_phrase,provisional,Preserve the medical-prescription wordplay in the surrounding sentence.
kavithaigal/odin_poatri.md,tamil_to_english,அண்டம் காக்கக் காக்கை,wordplay: காக்க / காக்கை,two ravens to guard the cosmos,wordplay,provisional,Printed page should confirm the restored sandhi.
kadithangal/arimaa_noaku.md,tamil_to_english,அரிமா நோக்கு,திருச்சி மாநில மாநாடு - அரிமா நோக்கு,the lion's retrospective gaze,cultural_image,provisional,The lion pauses and surveys the path already travelled; avoid translating it merely as lion's look.
kavithaigal/vaendum_viduthalai.md,tamil_to_english,கல்லிணுள் தேரை,கல்லிணுள் தேரை போல,like a toad enclosed within stone,literary_image,provisional,Traditional image of confined life; source is unfinished.
kavithaigal/juvasin_kalyana_gunam.md,tamil_to_english,திருக்கல்யாண குணம்,ஜுவசின் திருக்கல்யாண குணம்,divine character,satire,provisional,The quoted praise is ironic; can also imply auspicious or marital character.
kavithaigal/nee_ennadi.md,tamil_to_english,தேனிலந்த,தேனிலந்த இனிப்பேதடி,sweetness surpassing honey,ocr_sensitive,provisional,Exact printed form needs verification.
kavithaigal/odin_poatri.md,tamil_to_english,பாகை,நீலப் பாகை உடையாய்,mantle,ocr_sensitive,provisional,Exact costume sense needs printed-source verification.
kavithaigal/theekural.md,tamil_to_english,சாட மோடார்,கயவரைச் சாட மோடார்,சாட மாட்டார் / will he not assail,ocr_sensitive,unresolved,Archived OCR is damaged; compare with printed page.
kavithaigal/sooriya_kutty.md,tamil_to_english,சூரியக் குட்டி,சூரியக் குட்டியைத் தேடிய மாப்பிள்ளை,the Sun's little one,folklore_term,unresolved,Folktale relationship needs source context.
kavithaigal/tharthevan_poatri.md,tamil_to_english,நாவில் ஒன்று குறையக் காளை,நாவில் ஒன்று குறையக் காளை நல்ல கறி சமைத்து வைத்தான்,[unresolved],ocr_sensitive,unresolved,Substantial OCR damage; printed page required.
kavithaigal/congress_oozhal.md,tamil_to_english,வந்தேமாதரத் தாலாச்சு,நிலைமைக்கு வந்தேமாதரத் தாலாச்சு,[unresolved],source_irregularity,unresolved,HTML source retained verbatim; printed source needed.
kadithangal/aalinganamum.md,tamil_to_english,ராஜோபசாரம்,ராஜ குடும்பத்தில் பிறந்தார்கள் - ராஜோபசாரம் பெற்று வளர்ந்தார்கள்,royal attentions,cultural_term,provisional,Conveys ceremonial treatment and privileges accorded to royalty.
kadithangal/aalinganamum.md,tamil_to_english,பல ஜென்மம்,அரசியலில் பல ஜென்மம் எடுத்தவர்கள்,taken many births in politics,satire,approved,Retains Anna's rebirth metaphor for repeated changes of political affiliation.
kadithangal/aalinganamum.md,tamil_to_english,திருதராஷ்டிர ஆலிங்கனம்,சட்டசபையில் நான் இந்தத் திருதராஷ்டிர ஆலிங்கனம் காண்கிறேன்,Dhritarashtra embrace,literary_allusion,approved,An embrace that destroys its recipient; retained as the letter's governing allusion.
kadithangal/aanai_piranthathu_1.md,tamil_to_english,கொற்றம் இழந்தோம்,கொற்றம் இழந்தோம் கோட்டை இழந்தோம்,we lost sovereignty,historical_term,provisional,கொற்றம் can denote victory kingship or sovereign power; sovereignty best fits the political sequence.
kadithangal/aanai_piranthathu_1.md,tamil_to_english,காடி,இந்த காடித் தமிழ் வாடை கிளப்புகிறது,stale brew,wordplay,provisional,Anna immediately glosses it as old merchandise heard until it turned sour; translation preserves that satire rather than treating it as khadi.
kadithangal/aanal_agavae.md,tamil_to_english,அசை,அசைக்குப் பதிலாகப் பயன்படுத்துவோரும் நிரம்ப உள்ளனர்,rhythmic filler,prosody_term,provisional,அசை is formally a Tamil prosodic unit; here Anna jokes that the conjunctions are used merely to fill speech rhythm.
kadithangal/aanal_agavae.md,tamil_to_english,சிலம்பம்,ஆனால் ஆகவே எனும் சொற்களின் சிலம்பம்,staff-play,wordplay,approved,Metaphor treats the two conjunctions as staffs sparring and redirecting political arguments.
kadithangal/aariyam_irukum_idam.md,tamil_to_english,ஆரியர் / ஆரியம்,ஆரியரை ஒழித்திடும் வேலையை அல்ல ஆரியத்தை ஒழித்திடும் வேலை,Aryans / Aryanism,historical_political_term,approved,The letter explicitly distinguishes people from the ideology and social order; this distinction must remain consistent.
kadithangal/aariyam_irukum_idam.md,tamil_to_english,நாதி இல்லை,கேட்பதற்கு இன்று நாதி கிடையாது,no one to question or protect them,idiom,provisional,நாதி denotes a defender patron or person who will demand an account; wording varies with sentence context.
kadithangal/aavadiyum_kaavadiyum.md,tamil_to_english,காவடி,ஆவடி மூலம் காவடி தூக்கிகளாக இருக்கத் தென்னாடு இசைகிறதா,kavadi / submissive burden-bearing,cultural_wordplay,approved,Retains the rhyme with Avadi and the image of carrying a devotional burden as political submission.
kadithangal/aavadiyum_kaavadiyum.md,tamil_to_english,பிக்ஷாந்தேஹி,இங்குள்ள பிக்ஷாந்தேஹிகளும்,beggars,Sanskrit_expression,provisional,From a ritual request for alms; used satirically for southern leaders made to petition Delhi.
kadithangal/aazhamam_kuzhiyam.md,tamil_to_english,அறுபத்தேழாயிரம் அடி,"1967-ஆம் ஆண்டு ... 67,000 அடி ஆழக் குழி",sixty-seven thousand feet,numerical_wordplay,approved,Congress rhetoric links the election year 1967 with a fantastical pit depth of 67000 feet.
kadithangal/aazhamam_kuzhiyam.md,tamil_to_english,தும்பை விட்டுவிட்டு வாலைப் பிடிப்பது,தும்பை விட்டுவிட்டு வாலைப் பிடிப்பது என்பார்களே,letting go of the body and trying to catch the tail,idiom,provisional,Describes failing to stop growth early and attempting a harder remedy after the fact; exact dialectal sense of தும்பை merits review.
sirukathaigal/kalizhanthan.md,tamil_to_english,நொண்டி,"The narrator and Somu repeatedly use the period term amid pity ridicule and self-contempt",one-legged man / lame / cripple,historical_disability_term,contextual,"Now derogatory; renderings vary with narrative context and preserve the story's critique of stigma without treating the label as neutral."
sirukathaigal/kalizhanthan.md,tamil_to_english,கண்ணிருந்தும் குருடன்,"Somu calls himself blind for failing to understand Thangam and for refusing to face reality",blind despite having eyes,metaphor,approved,"The title concerns leg loss but the story's controlling metaphor is moral and intellectual blindness."
sirukathaigal/kalizhanthan.md,tamil_to_english,துன்பத்தின் பிடரியைப் பிடித்து,"Kannappa confronts disability and rebuilds his life",seized suffering by the neck,metaphor,approved,"பிடரி denotes the nape or mane area; translated idiomatically while retaining the forceful image."
sirukathaigal/rottithundu.md,tamil_to_english,ரொட்டித்துண்டு,"Title of Kathirvelu's stolen book and emblem of workers' hunger",A Piece of Bread,title_symbolism,approved,"Kept as the repeated title throughout; the modest object contrasts with elite literary fame and wealth."
sirukathaigal/rottithundu.md,tamil_to_english,ராவ்பகதூர்,"Colonial title borne by mill owner Ranganatha Bhoopathi",Rao Bahadur,historical_honorific,approved,"Transliterated rather than translated; its prestige is part of the satire."
sirukathaigal/rottithundu.md,tamil_to_english,காலணா / தம்படி,"Father disinherits his son using small period currency units",quarter-anna / copper,period_currency,contextual,"Rendered for rhetorical force rather than attempting obsolete exact modern values."
sirukathaigal/rottithundu.md,tamil_to_english,லூஸ் - கிராக் - செமி,"College labels used to support a fraudulent confinement plan",loose / crack / semi,historical_stigmatizing_language,contextual,"Retained as quoted period slang and explicitly not treated as valid diagnosis."
sirukathaigal/pallilikkum.md,tamil_to_english,பல்லிளிக்கும் பரப்பிரம்மங்கள்,"Title juxtaposing servile tooth-baring with a lofty metaphysical term",The Grinning Parabrahmans,title_wordplay,provisional,"Parabrahman is transliterated so the satirical inflation remains visible; grinning conveys ingratiating deference."
sirukathaigal/pallilikkum.md,tamil_to_english,வெட்டு ஒன்று துண்டு இரண்டு,"Contrasts the editor's summary judgement of a poor labourer with elaborate sympathy for a patron",one sharp cut and two clean pieces,idiom,approved,"Means a blunt categorical verdict without nuance or inquiry."
sirukathaigal/pallilikkum.md,tamil_to_english,பாராக்குக் கூறுதல்,"Servile praise shown to those believed wealthy or powerful",crying ceremonial praises,social_idiom,provisional,"Rendered contextually alongside பல்லிளித்தல்; exact regional ceremonial nuance merits review."
sirukathaigal/pallilikkum.md,tamil_to_english,வர்ணாஸ்ரமக் கல்வித்திட்ட எதிர்ப்பு அறப்போர்,"Narrator's explanation for imprisonment",righteous struggle against the varnasrama education scheme,historical_political_reference,approved,"Preserved as the source's historical political framing without adding external interpretation."
sirukathaigal/valliyin_devi.md,tamil_to_english,தேவி,"Calf named after the village clan goddess",Devi,name_symbolism,approved,"Transliterated rather than reduced to Goddess; the title retains both personal and sacred resonance."
sirukathaigal/valliyin_devi.md,tamil_to_english,சுழிகண்டு மடிகண்டு,"Villagers assess the newly purchased cow",examined the hair whorls and udder,rural_husbandry_terms,approved,"சுழி denotes auspicious or diagnostic hair whorls; மடி denotes the udder here."
sirukathaigal/valliyin_devi.md,tamil_to_english,கைராசி உள்ள டாக்டர்,"Thenappan's faith in Doctor Govindan",doctor reputed to possess a healing hand,cultural_idiom,approved,"கைராசி implies fortunate or successful efficacy associated with a person's hand."
sirukathaigal/valliyin_devi.md,tamil_to_english,சாவோலை வார்த்தையாலே,"Servant's prediction that the cow will die",extending a palm-leaf death notice through his words,metaphor,provisional,"Retains the source image of an announced death; exact ritual nuance may merit review."
sirukathaigal/pithalai_alla.md,tamil_to_english,பித்தளை அல்ல பொன்னேதான்,"Title and Appasamy's final recognition of Muthu",Not Brass but Pure Gold,title_metaphor,approved,"The polished gold tray triggers recognition that the socially despised son possesses exceptional loyalty."
sirukathaigal/pithalai_alla.md,tamil_to_english,இரண்டாந்தாரம்,"Valli's position after the death of Appasamy's first wife",second wife,historical_family_term,approved,"Translated directly while retaining the social resentment and stigma voiced in the story."
sirukathaigal/pithalai_alla.md,tamil_to_english,பூவோடும் மஞ்சளோடும் நல்ல கதிக்குப் போனாள்,"Appasamy says his first wife died while still married",went to a good end still wearing flowers and turmeric,cultural_death_idiom,provisional,"Refers to dying as a sumangali; image retained without importing an explanatory label into the narrative."
sirukathaigal/pithalai_alla.md,tamil_to_english,கடுங்காவல்,"Muthu's six-month sentence",rigorous imprisonment,legal_historical_term,approved,"Standard period legal rendering."
sirukathaigal/samooga_sevaki.md,tamil_to_english,சமூக சேவகி,"Title and repeatedly advertised public identity of Charubala",social worker,title_satire,approved,"Initially prestigious but progressively exposed as unskilled intervention without accountability."
sirukathaigal/samooga_sevaki.md,tamil_to_english,சிவபூஜைக்கரடி,"Raghuraman's thought when the compounder interrupts intimacy",a bear intruding upon Siva worship,idiom,provisional,"Traditional comparison for a jarring interruption; image retained rather than replaced with a modern idiom."
sirukathaigal/samooga_sevaki.md,tamil_to_english,கொல்லன் தெருவில் ஊசி விற்கிற மாதிரி,"Villager objects to affluent volunteers taking over skilled local work",like selling needles in a blacksmith's street,proverb,approved,"Conveys bringing inferior or unnecessary expertise where practitioners already exist."
sirukathaigal/samooga_sevaki.md,tamil_to_english,என் வயிற்றிலே பால் வாருங்க,"Father begs the doctor to save his only child",pour milk into my stomach,cultural_idiom,provisional,"An appeal to grant profound relief or gratitude; source image retained."
sirukathaigal/samooga_sevaki.md,tamil_to_english,வாழைத்தண்டு போல தில்விட்டுக் கிடந்தது,"Severely injured child's limp body",hung limp like the trunk of a banana plant,simile,provisional,"OCR verb is damaged but the physical simile is clear from context."
