source_file,source_fragment,probable_reading,status,notes
katturaigal/kaanamalpona.md,"சாண்டா மேரியா (68/8 442712)","Santa Maria",confirmed_by_reference,"OCR-damaged Roman-script parenthesis; historical ship name verified."
katturaigal/kaanamalpona.md,"ஜெனரல் டெல்கேடோ (08/1214/ 02/2840)","General Humberto Delgado",confirmed_by_reference,"Leader named in contemporary accounts of the 1961 seizure."
katturaigal/kaanamalpona.md,"கால்வோ (0௭:௭0)","Henrique Galvão",confirmed_by_reference,"Historical leader of Operation Dulcinea."
katturaigal/kaanamalpona.md,"ரிசைப் (722/2)","Recife",confirmed_by_reference,"OCR-damaged port name; source also mistakenly calls it Venezuelan although Recife is in Brazil."
katturaigal/kaanamalpona.md,"அட்மிரல் ஸ்மித் (497072/ 21/07)","Rear Admiral Allen Smith",confirmed_by_reference,"Contemporary accounts identify the U.S. naval commander as Allen Smith."
katturaigal/kalai_oli.md,"கலை ஓளி!","கலை ஒளி!",confirmed_by_language,"Display title uses standard Tamil spelling; source retained verbatim."
katturaigal/kalai_oli.md,"1-4-28","April 1958 date unclear",needs_scan_check,"Article discusses Paul Robeson's sixtieth birthday on 9 April 1958, so the OCR closing date is inconsistent and must be checked against the scan."
katturaigal/periya_idathu_thiru.md,"பேரிய இடத்தூத் திருமணம் - ஆனால்.","பெரிய இடத்துத் திருமணம் - ஆனால்!",probable,"Display title corrected from clear grammar and filename; source retained verbatim."
katturaigal/periya_idathu_thiru.md,"20-6-489","20-6-48",confirmed_by_context,"Opening dates the wedding 10-6-48 and the article discusses that event; source retained verbatim."
katturaigal/thiyaga_parambarai.md,"பொ?மியா நாடு","பொஹீமியா நாடு",probable,"Context identifies Bohemia in the Jan Hus reference; source retained verbatim."
katturaigal/thiyaga_parambarai.md,"தார நில்பகையே!துள்ளிவருகுது வேல்","தாரா நில் பகையே! துள்ளி வருகுது வேல்",needs_scan_check,"Damaged political-poetic slogan; English translation remains conservative."
katturaigal/thiyaga_parambarai.md,"தியாகச் செந்நரில்","தியாகச் செந்நீரில்",probable,"Closing metaphor appears to mean the red blood of sacrifice; source retained verbatim."
katturaigal/thiyaga_parambarai.md,"27-2-26","27-2-[year unclear]",needs_scan_check,"Publication year is inconsistent with the DMK-era context and requires scan verification."
katturaigal/kalaivazhi.md,"கலைவமி/","கலைவழி!",probable,"Filename and repeated path motif make the corrected display title clear; source retained verbatim."
katturaigal/kalaivazhi.md,"14-1-1;28","14-1-[year unclear]",needs_scan_check,"Closing publication year is damaged and must be read from the scan."
katturaigal/sirunarikku.md,"இன்டர் மீடியட்டில் 44.22 இடங்கள்","இன்டர் மீடியட்டில் 4,422 இடங்கள்",needs_scan_check,"The printed admissions table likely lost a thousands separator or converted it to a full stop; translation retains 44.22 pending scan verification."
katturaigal/sirunarikku.md,"சிங்கத்துக்கு வெறுங் கு.டிசை7","சிங்கத்துக்கு வெறுங்குடிசை!",probable,"Title punctuation and spacing are visibly damaged; source and Tamil title remain verbatim."
katturaigal/mu_karunanithi.md,"மு, கருணாநிதி","மு. கருணாநிதி",probable,"Comma is likely OCR substitution for the initial's full stop; source retained verbatim."
katturaigal/mu_karunanithi.md,"அவரது: சென்னை முகவரிக்கு","அவரது சென்னை முகவரிக்கு",probable,"Colon appears extraneous in context; source retained verbatim."
katturaigal/mu_karunanithi.md,"(திராவிட நாடு - 9.8.53) ப","(திராவிட நாடு - 9.8.53)",probable,"Trailing isolated ப is likely OCR noise; source retained verbatim."
katturaigal/moksesae.md,"ஆனால்........... 7","ஆனால்...........",probable,"Isolated 7 is likely a printed page number captured inline; source retained verbatim."
katturaigal/thozhar_k.md,"(2. தோழர் கே. கோவிந்தசாமி!","2. தோழர் கே. கோவிந்தசாமி!",probable,"Opening parenthesis is likely OCR substitution or noise; source retained verbatim."
katturaigal/thozhar_k.md,"(திராவிட தாடு - 13.5,51)","(திராவிட நாடு - 13.5.51)",probable,"Publication name and date punctuation contain probable OCR substitutions; source retained verbatim."
katturaigal/magizhgirom200355.md,"(செய்தி - 20-2-22 - திராவிட நாடு)","[date requires image review]",unresolved,"Filename suggests a different date; do not silently alter the printed OCR reading."
katturaigal/nam_annavin.md,"10-1-6.3","[date requires image review]",unresolved,"Malformed date conflicts with the nearby publication date; source retained verbatim."
katturaigal/vaazhkai_vizha.md,"முதலானோர் மணமக்களை","[source continues beyond extracted image]",incomplete_source,"OCR text ends mid-sentence; keep pending until the missing continuation is recovered."
katturaigal/varunthu_311048.md,"மரணத்தின் முடிவிலிருந்து ஒருவரும் தப்ப முடியாது என்னும் பேருண்மையை நண்பர்","[source continues beyond extracted image]",incomplete_source,"OCR text ends mid-sentence; keep pending until the missing continuation is recovered."
katturaigal/anuthabam.md,"நல்ல தமிழ்ப்பற்று, அப்பழுக்கற்ற","[source continues beyond extracted image]",incomplete_source,"OCR text ends mid-sentence; keep pending until the missing continuation is recovered."
katturaigal/maraivu.md,"கொண். .வர்.","[missing opening and title]",incomplete_source,"OCR begins mid-sentence and lacks the printed title; keep pending until the preceding source is recovered."
katturaigal/raja_annama.md,"இரவு * செட்டிநாட்டிலுள்ள அவரது மாளிகையில்","[missing opening and title]",incomplete_source,"OCR begins mid-sentence and lacks the printed title; keep pending until the preceding source is recovered."
katturaigal/arumai_arumai.md,"திருக்காட்டுப்பள்ளியில். சர்.சிவசாமி ஐயரின்","[printed title missing]",incomplete_source,"Body appears complete but the OCR image omits the title; do not infer a canonical Tamil title solely from the filename."
katturaigal/younoo.md,"தீர். யூநூ/","திரு. யூ நூ!",probable,"Printed title is OCR-damaged; bilingual heading preserves source while English uses the identifiable historical name U Nu."
katturaigal/nadamaadum.md,"் சீ0. நடமாடும் தமிழ்/","[number]. நடமாடும் தமிழ்!",probable,"Leading number and punctuation are OCR-damaged; source title retained verbatim."
katturaigal/nadamaadum.md,"(செய்தி - 18-2-22- திராவிட நாடு)","[date requires image review]",unresolved,"Date is inconsistent with surrounding archive chronology; source retained verbatim."
katturaigal/thozhar_mu_ka.md,"(திராவிட நாடு - 25-2-51","(திராவிட நாடு - 25-2-51)",probable,"Closing parenthesis is absent in OCR; source retained verbatim."
katturaigal/mozhipor_veerang.md,"ழு.என். மாரியம்மாள்","டி.என். மாரியம்மாள்",resolved_from_scan,"Initials and the name உதயகிரி were verified directly against the scan before translation."
katturaigal/thozhar_daniel.md,"சட்ட இலாகாவும் இவரிடம் ஒப்படைக்கப்பட்டிருந்தது. 'இவருடைய","[source continues beyond extracted image]",incomplete_source,"OCR ends mid-sentence; keep pending until continuation is recovered."
katturaigal/iyakka_veerarai.md,"ஏதாவது செய்யவேண்டுமென நினைக்கும் சுபாவம் கொண்ட","[printed title or opening missing]",incomplete_source,"OCR starts directly with prose and has no printed title; source completeness needs image review."
katturaigal/kazhagamum.md,"எடுத்துக் கொண்டால், அவர், எனக்கு எதிரில் வர பயந்து","[source begins mid-sentence]",incomplete_source,"OCR begins mid-sentence and lacks a printed title; keep pending."
katturaigal/chennayil_thozhar.md,"பணியினைத் தொடர்ந்து செய்ய வந்துள்ளார் என்பதறிந்து","[source begins mid-sentence]",incomplete_source,"Translated exactly to the available boundary; descriptive title supplied and all visible dates verified against the scan."
katturaigal/july13.md,"98. ஜூலை 18!","ஜூலை 13!",probable,"Body and filename repeatedly identify 13 July; source title is retained verbatim and English title follows the OCR text."
katturaigal/july13.md,"செய்பப்பட்டிக்சிகதது / ஜ.513லேயே","செய்யப்பட்டிருக்கிறது / ஜூலை 13லேயே",probable,"Severe inline OCR damage in the scheduling sentence; translation follows recoverable context without changing source."
katturaigal/july13.md,"(திராவிட தாடு - 12.7.53)","(திராவிட நாடு - 12.7.53)",probable,"Publication name contains OCR substitution; source retained verbatim."
katturaigal/savundappan.md,"42. சவண்டப்பன்[","42. சவுண்டப்பன்!",probable,"Name spelling and terminal punctuation are OCR-damaged; body supplies the clearer spelling."
katturaigal/savundappan.md,"(திராவிட தாடு - 9.8.53)","(திராவிட நாடு - 9.8.53)",probable,"Publication name contains OCR substitution; source retained verbatim."
katturaigal/vazhthu_140160.md,"னமுழக்கம் பொங்கல் மலர்","இனமுழக்கம் பொங்கல் மலர்",probable,"Initial இ is missing or damaged in OCR; journal name is clear from the closing citation."
katturaigal/pongal_virunthu.md,"(பொங்கல் மலர் - 14-1-28 - முரசொலி)","[year requires image review]",unresolved,"Date may have a damaged year digit; source and English citation preserve the OCR reading."
katturaigal/perumpulavar.md,"4-17-56 / 1)-11-௦6","[dates require image review]",unresolved,"Both event and publication dates contain damaged or implausible digits; source retained verbatim."
katturaigal/ayyo_yazh.md,"40, ஐயோ யாம் முறிந்ததூ","40. ஐயோ யாழ் முறிந்தது!",probable,"OCR substitutes யாம் for யாழ் and damages final vowel/punctuation; filename and article subject confirm yal."
katturaigal/ayyo_athuvum.md,"கவற்கனலை செய்வோம்","[phrase requires image review]",unresolved,"Closing exclamation is OCR-damaged; translation follows the surrounding lament while source remains verbatim."
katturaigal/ayyo_athuvum.md,"(திராவிட நாடு - தனி வெளியீடு - 31749)","[date requires image review]",unresolved,"Date separators are missing; source and translation citation preserve the OCR string."
katturaigal/muthal_kanik.md,"ஐஜிலை ந்தேதி / ந்தேதி / 9ந்தேதி","ஐந்தாம் தேதி / ஐந்தாம் தேதி / ஒன்பதாம் தேதி",probable,"Several date words are damaged; translation follows the recoverable counts and sequence."
katturaigal/sampath_thara.md,"(செய்தி - திராவிட நாடு - 16-2-28)","[year requires image review]",unresolved,"Year is uncertain in archive chronology; source retained verbatim."
katturaigal/nadengum.md,"மாணவகச்களும் / மாணவர்களம் / து செய்யப்பட்டுள்ளனர்","மாணவர்களும் / மாணவர்களும் / கைது செய்யப்பட்டுள்ளனர்",probable,"OCR damage in list entries; translation follows clear context without editing source."
katturaigal/theera_thuyaram.md,"15. தீராத்தூயரம்;?","15. தீராத்துயரம்!",probable,"Title contains duplicated vowel and damaged punctuation; English follows the clear lexical reading."
katturaigal/kovil_karai.md,"23. கோலில் கறை யரந்ததூ!","23. கோலில் கறை படிந்தது!",probable,"Title is severely OCR-damaged; article's repeated closing phrase confirms the reading."
katturaigal/kovil_karai.md,"(திராவிட நாடு - 85.49)","[date requires image review]",unresolved,"Date separators or digits are missing; source and translation preserve the OCR reading."
katturaigal/cdnaayagam.md,"மேற்கண்ட பள்ளிக்கூடங்","[source continues beyond extracted image]",incomplete_source,"Translated exactly to the cropped boundary; no continuation was invented."
katturaigal/vellai_sigappukodi.md,"1/928-இல் குடியரசுத் தலைவரானார்!","1933-இல் குடியரசுத் தலைவரானார்!",resolved_from_scan,"The printed chronology and damaged words were checked against the scan; the available page still ends at the chronology."
katturaigal/aaruthal_kooru.md,"அவர்கள் திரிசடை அம்மையை","[source begins after missing title/opening]",incomplete_source,"OCR begins mid-sentence and lacks a printed title; keep pending."
katturaigal/pandithar_maraivu.md,"பண்டிதர் திருஞான சம்பந்தம் சுயமரியாதை இயக்கத்","[printed title missing]",incomplete_source,"Body appears complete but OCR lacks the title; do not infer it solely from filename."
katturaigal/parakkum_kuthirai.md,"அல்லத 114 டன் நிறையுள்ள ப(ளசூவையோ","1¼ டன் நிறையுள்ள பளுவையோ",verified_image,"Source image 002-509c68befe.png confirms the printed capacity as 1¼ tons; Tamil OCR source remains unchanged."
katturaigal/maahana_manavar.md,"மாநாட்டில் நிறைவேற்றப்பட்ட தீர்மானம்: -","[source continues beyond extracted image]",incomplete_source,"Translated through the final visible heading; the absent resolution was not reconstructed."
katturaigal/mapusiponvizha.md,"என்று ம.பொ... அவர்கள்","என்று ம.பொ.சி. அவர்கள்",incomplete_source,"Initials and publication date were resolved from the scan; translation begins at the surviving mid-sentence boundary and uses a descriptive title."
katturaigal/nanbargal_kaetpatharkku04.md,"உப்புக்காய்ச்சுவது, வரிகொடா இயக்கம், சட்டமறுப்பு","[source continues beyond extracted image]",incomplete_source,"Question 18 was translated through the final visible line; the continuation was not invented."
katturaigal/chennayil_bamba.md,"தோறும் விசேஷப் பிரார்த்தனைகள் செய்ய வேண்டும்","[source begins mid-sentence]",incomplete_source,"Translated from the surviving opening fragment; descriptive title supplied from the Madras/Bombay contrast."
katturaigal/thookumaedayil_matro.md,"தேம்பி நிற்கும் திராவிடம் எதிர்பார்த்துக் கொண்டிருக்கிறது!","[source continues beyond extracted image]",incomplete_source,"Translated through the cropped ending; the unusual printed wording தேம்பி was retained and a descriptive title supplied."
katturaigal/aaduraattey.md,"39ஆடூராட்டே! ஆனால் இங்கு!","39. ஆடு ராட்டே! ஆனால் இங்கு!",probable,"Number/title spacing and word division are damaged; refrain is clear in body."
katturaigal/nandri_170357.md,"4-3-572ல் / (17-2-57- திராவிட நாடு)","4-3-57 / [publication date requires review]",unresolved,"Election date has an extra digit and closing date appears earlier than election; filename suggests 17-03-57."
katturaigal/nandri_170357.md,"உண்மை ஊளழியம் / பணியாற்றி படலம்","உண்மை ஊழியம் / பணியாற்றிடுவேன்",probable,"Inline OCR damage affects two pledge phrases; translation follows clear sentence meaning."
katturaigal/naagai_mani.md,"(செய்தி - திராவிட நாடு - 27-7-47","(செய்தி - திராவிட நாடு - 27-7-47)",probable,"Closing parenthesis is absent; source retained verbatim."
katturaigal/thozhar_tm.md,"சென்னை - ௦௨00 014","சென்னை - 600 014",probable,"Postal code contains mixed Tamil/Arabic OCR digits; English renders the identifiable address."
katturaigal/puthuvali.md,"19. பது வலி!","19. புது வலி!",probable,"Title is missing the long vowel marker; filename and article's new-headache metaphor support the reading."
katturaigal/hindi_nilamai.md,"(திராவிட நாடு - 47.48)","[date requires image review]",unresolved,"Date separators or digits are missing; source and English preserve the OCR reading."
katturaigal/hindi_nilamai.md,"1939 ஆம் ஆண்டு ஜூன் மாதம்","[year requires historical/source review]",unresolved,"The cited linguistic Congress reorganisation chronology may be OCR-damaged; translation preserves the source year."
katturaigal/moodatheer.md,"594. மூடாதர்!","594. மூடாதீர்!",probable,"Filename, conclusion, and article subject support the title reading; source remains unchanged."
katturaigal/moodatheer.md,"படிப்பற்ற சமுதாயத்துக்குத் அல்பா செய்யாதீர்","[damaged verb requires image review]",unresolved,"The final slogan contains a badly recognised verb; translation follows the apparent warning against fostering an uneducated society."
katturaigal/moodatheer.md,"(திராவிட நாடு - 17-6-5])","[year requires image review]",unresolved,"Final year digit is recognised as a closing bracket; source and English retain the OCR reading."
katturaigal/vaguppurimai_por.md,"2. வகுப்புரிமைப் போராட்டம்/","2. வகுப்புரிமைப் போராட்டம்!",probable,"Terminal punctuation appears OCR-damaged; source remains unchanged."
katturaigal/vaguppurimai_por.md,"பார்ப்பனரல்லாத சமுதாயம்துடித்துக் / திடப்பதன்","பார்ப்பனரல்லாத சமுதாயம் துடித்துக் / கிடப்பதன்",probable,"Line break and first consonant are damaged; translation follows the sentence context."
katturaigal/musadhik.md,"//. முசாதிக்","[item number unclear]. முசாதிக்",unresolved,"Printed item number is not recoverable from OCR; title is clear from filename and body."
katturaigal/musadhik.md,"விடுதலை ஆடை கிறார்","விடுதலை அடைகிறார்",probable,"Word segmentation and vowel are OCR-damaged; translation follows the clear sentence."
katturaigal/musadhik.md,"(செய்தி -2-8-26 - திராவிட நாடு)","[date requires image review]",unresolved,"The apparent year may be OCR-damaged or incomplete; source and English retain the reading."
katturaigal/vazhga_thindivanam.md,"பார்விமெண்ட் தேர்தலில்","பார்லிமெண்ட் தேர்தலில்",probable,"OCR damages the word Parliament; translation follows the clear electoral context."
katturaigal/vazhga_thindivanam.md,"தேர்தல் இலவங்காய் கனியாகும்","[metaphor requires image review]",unresolved,"The fruit metaphor may contain a damaged word; translation conservatively retains the visible clove-fruit image."
katturaigal/vazhga_thindivanam.md,"(செய்தி - 27-1-௦2 - திராவிட நாடு)","(செய்தி - 27-1-52 - திராவிட நாடு)",probable,"Tamil zero and Arabic 2 likely represent 52; source remains unchanged."
katturaigal/vazhthugindrom180552.md,"நடி.கரும், தற்போதைய திரைப்பட நட்சத்திரமுமான","நடிகரும், தற்போதைய திரைப்பட நட்சத்திரமுமான",resolved_from_scan,"Damaged words and names were checked against the scan; no printed title or publication line survives, so a descriptive title is used."
katturaigal/nallatchi_kanbom.md,"(9, நல்லாட்சி காண்போம்/","19. நல்லாட்சி காண்போம்!",probable,"Opening number and punctuation are OCR-damaged; title is otherwise clear."
katturaigal/nallatchi_kanbom.md,"(பொங்கல் மலர் - 14-1-27 - முரசொலி)","[year requires image review]",unresolved,"The year is probably OCR-damaged; source and English retain the visible reading."
katturaigal/vaendukoal1508.md,"திராவிடர் ழகத்துக்குக்","திராவிடர் கழகத்துக்குக்",probable,"Initial consonant is omitted by OCR; translation follows the organisation named elsewhere in the article."
katturaigal/vaendukoal1508.md,"அவாகள் முன்வந்து ... அதி பாரக்திறோம்","அவர்கள் முன்வந்து ... எதிர்பார்க்கிறோம்",probable,"The final sentence is heavily OCR-damaged but recoverable from grammar and context; source remains unchanged."
katturaigal/vaendukoal1508.md,"(திராவி: ௩௩௦ 7& 5 ௪௩௦","[publication line requires image review]",unresolved,"Publication name and date are severely damaged; English identifies the likely journal but does not invent a date."
katturaigal/aakiramippai.md,"இநதுய எல்லையில் ... பாகிஸ்தாளனை","இந்திய எல்லையில் ... பாகிஸ்தானைக்",probable,"Several opening-word letters are OCR-damaged; translation follows the clear geopolitical context."
katturaigal/aakiramippai.md,"மக்களுக்கு உற்சாகமும் பாராட்டக்கூடிய நிலையில் உள்ளது","[sentence may be missing words]",unresolved,"The sentence is grammatically incomplete in OCR; translation remains conservative and source is unchanged."
katturaigal/aakiramippai.md,"சட்க்கித்","[stray OCR or printed footer]",unresolved,"Unidentified text follows the publication line and is omitted from the translated prose but retained in the source block."
katturaigal/aamai_vaegam.md,"1, ஆமை ேேகம்!","1. ஆமை வேகம்!",probable,"The initial consonant and vowel in வேகம் are OCR-damaged; filename and repeated phrase confirm the title."
katturaigal/aamai_vaegam.md,"(திராவிட நாடு - 12-12-49)","[year may require review]",unresolved,"Body says 1948 is ending while publication line reads 1949; translation preserves both visible readings."
katturaigal/aatchi_mozhi.md,"ட பாராளுமன்ற உறுப்பினர்களுக்கு நேரு அனுப்பிய பதில்","பாராளுமன்ற உறுப்பினர்களுக்கு நேரு அனுப்பிய பதில்",probable,"A stray OCR character precedes the subtitle; translation omits it while source remains unchanged."
katturaigal/aatchi_mozhi.md,"ஆட்சித்துறையில் தணைமொழியாக","ஆட்சித்துறையில் துணைமொழியாக",probable,"Vowel marker is missing in the OCR word for associate language; translation follows context."
katturaigal/aduthakkattam.md,"மக்களை மாக்களாக நடத்துவது","மக்களை மாக்களாக நடத்துவது",uncertain_term,"மாக்கள் is retained as a deliberate contrast meaning beasts or unreasoning beings; translation renders the contextual sense."
katturaigal/aduthakkattam.md,"தோழர் சிவஷண்முகம்","[name spelling requires source review]",unresolved,"Personal name is transliterated conservatively from OCR; source remains unchanged."
katturaigal/ahathu_koodathu.md,"69. ஆகாது - கூடாது - அடாது]","69. ஆகாது - கூடாது - அடாது!",probable,"Terminal bracket is likely damaged punctuation; source remains unchanged."
katturaigal/ahathu_koodathu.md,"தென் இத்தியர்கள்மீது","தென் இந்தியர்கள்மீது",probable,"OCR omits consonant and vowel signs in South Indians; translation follows the quotation's clear meaning."
katturaigal/ahathu_koodathu.md,"மற்றப் பதின்மான்று மொழிகளும்","மற்றப் பதின்மூன்று மொழிகளும்",probable,"Numeral word is OCR-damaged; translation renders thirteen as visibly intended."
katturaigal/ahathu_koodathu.md,"(திராவிட தாடு - 11.12.60)","(திராவிட நாடு - 11.12.60)",probable,"Journal name has an OCR consonant substitution; source remains unchanged."
katturaigal/annavin_vazhthu.md,"சுவையும் பயனும் மிகுந்திடு சருத்தோவியங்களையும்","சுவையும் பயனும் மிகுந்திடும் கருத்தோவியங்களையும்",probable,"Word boundary and initial consonant are OCR-damaged; translation follows the sentence meaning."
katturaigal/annavin_vazhthu.md,"இந்திக்கா அதிக்கம்","இந்திக்கா ஆதிக்கம்",probable,"Long vowel is omitted in ஆதிக்கம்; translation follows context."
katturaigal/ayvar_vazhakku.md,"4 1. ஐவர் வழக்கு!","41. ஐவர் வழக்கு!",probable,"Item number is split by OCR; title remains clear."
katturaigal/ayvar_vazhakku.md,"திரு. அத்னேஷியஸ்","[personal name requires image review]",unresolved,"Government counsel's name is transliterated conservatively from OCR."
katturaigal/ayvar_vazhakku.md,"வண்ணாரப் பேட்டை போலீஸ் இன்ஸ்பெக்டர் திம்ஸ்","[personal name requires image review]",unresolved,"Inspector's name may be OCR-damaged; English retains the visible reading."
katturaigal/ayvar_vazhakku.md,"(திராவிட தாடு - 98.53)","[journal and date require image review]",unresolved,"Journal name is damaged and date digits/separators are implausible; source and English preserve the OCR date reading."
katturaigal/balae_aal.md,"29. பலே ஆன்!","29. பலே ஆள்!",probable,"Final retroflex consonant in the title is OCR-damaged; idiom and article context support ஆள்."
katturaigal/balae_aal.md,"இந்தியச் சட்டசபை கொறடாவான சத்யநாராயண சின்ஹா","[office and name spelling require review]",unresolved,"Historical name and legislative office are translated conservatively from OCR."
katturaigal/balae_aal.md,"நீகி, -,98","[stray OCR or printed footer]",unresolved,"Unidentified text follows the publication line and is omitted from translated prose but retained in source."
katturaigal/chandiran_marai.md,"(திராவிட நாடு - 26.250)","[date requires image review]",unresolved,"Date digits and separators are damaged; English preserves the OCR reading rather than inventing a date."
katturaigal/chandiran_marai.md,"சந்தர்ப்பப் புறாக்களுண்டு","[metaphor requires source review]",uncertain_term,"The phrase literally denotes birds of opportunity and may be a deliberate metaphor; translation retains it conservatively."
katturaigal/erode_kaana.md,"அருமைத் தோழர் ஈ.வே.கி. சம்பத் அவர்களின் இல்லம்.","[printed title missing]",incomplete_source,"The complete surviving meeting report was translated under a descriptive title; time, names, and publication date were verified against the scans."
katturaigal/ezhil_dravidam.md,"திகழ்நீதது","திகழ்ந்தது",probable,"Internal letters are OCR-damaged; translation follows the clear sentence."
katturaigal/ezhil_dravidam.md,"இம்முறையும் அவர்கட்கு ஓர் நல் ட்டு","இம்முறையும் அவர்கட்கு ஓர் நல்விருந்து",probable,"OCR drops several letters in the feast metaphor; translation follows adjacent context."
katturaigal/ezhil_dravidam.md,"(பொங்கல் மலர் - 14-1-26 - முரசொலி)","[year requires image review]",unresolved,"Visible year may be OCR-damaged; source and translation retain it."
katturaigal/farook.md,"பருக் / பரூக்","பரூக்",probable,"The ruler's name is inconsistently recognised; translation standardises only the English transliteration while preserving Tamil source."
katturaigal/farook.md,"பலம் நகீப் குழுவி।_..ம் இருக்கிறது","பலம் நகீப் குழுவிடமும் இருக்கிறது",probable,"Severe symbol noise damages the case ending; translation follows the clear sentence."
katturaigal/jomo.md,"இந்த இரகசியச் சங்கத்திலே யாரையும்","[printed title and opening missing]",incomplete_source,"Translated from the surviving Mau Mau discussion; no earlier context was reconstructed and a descriptive personal-name title was supplied."
katturaigal/jomo.md,"ஜோமோ கேவியாடா","ஜோமோ கெனியாட்டா",resolved_from_scan,"The printed name was verified against the scan; standard English title spelling is Jomo Kenyatta."
katturaigal/kadamai_unarchi.md,"45, கடமை உணர்ச்சி கண்டு மகிழ்கிறோம்/","45. கடமை உணர்ச்சி கண்டு மகிழ்கிறோம்!",probable,"Title punctuation is OCR-damaged; source remains unchanged."
katturaigal/kadamai_unarchi.md,"74-6-49-ம் நாள்","14-6-49-ம் நாள்",probable,"The same paragraph and later date identify 14 June; initial digit is likely OCR-damaged."
katturaigal/kadamai_unarchi.md,"ரூ. 10,000 கொண்டா","[security amount requires image review]",unresolved,"The quoted amount differs from the introduction's Rs. 70,000 and Rs. 3,000; translation preserves the quote's visible amount."
